date,description,endtime,event_id,location,owner,speaker,starttime,summary,title,url,date_dt
"Tuesday, April 30, 2019 - 11:30am","Cold Spring Harbor LaboratoryDiscovering dynamic states of neural populationsNeural responses and behavior are influenced by internal brain states, such as arousal or task context. Ongoing variations of these internal states affect global patterns of neural activity, giving rise to apparent variability of neural responses under the same experimental conditions. Uncovering dynamics of internal states from data proved difficult with traditional techniques based on trial-averaged responses of single neurons. In this talk, I will describe our recent work leveraging multi-electrode neural activity recordings and computational models to reveal internal-state dynamics of neural populations during perception and goal-directed behavior. I will show how endogenous fluctuations of ensemble neural activity in the primate visual cortex depend on the global arousal and selective attention. The spatiotemporal structure of these fluctuations accounts for correlated variability across cortical layers and columns. I will then present a broadly applicable, non-parametric framework for discovering neural population dynamics directly from the data without a priori model assumptions. The framework uncovers dynamic computations from large-scale neural recordings with single-neuron, single-spike resolution.",12:30 PM,,"Barchi Library, 140 John Morgan Building",Computational Neuroscience Initiative (CNI),Tatiana Engel,11:30 AM,,Discovering dynamic states of neural populations,https://cni.upenn.edu/events/cni-seminar-tatiana-engel,30-04-2019
"Tuesday, April 16, 2019 - 11:30am","Institute of NeuroscienceNational Yang-Ming UniversityProbability estimation and its neurocomputational substratesMany decisions we make depend on how we evaluate potential outcomes and estimate their probabilities of occurrence. Outcome valuation is subjective – it requires consulting the decision maker’s internal preferences and is sensitive to context. Probability estimation is also subjective – but requires the decision maker to first extract statistics from the environment before using them to estimate probability. Currently, it is unclear whether the two computations share similar algorithms and neural-algorithmic implementations.I will present our recent work on context-dependent probability estimation, which we identified both similarities and differences in computational mechanisms between valuation and probability estimation. I will also talk about work on modeling probability estimation as Bayesian inference, which focuses on examining how and how well people estimate probability of reward in the presence of prior and likelihood information. Here we found suboptimal performance similar to base-rate neglect, which surprisingly is robust across a wide variety of setups that try to eliminate this behavior. Together, these results suggest many interesting aspects of probability estimation that have yet to be fully understood at the behavioral, computational, and neural algorithmic levels.Bio: I obtained my PhD (2008) from New York University working on representations and use of probability information in decision making under risk with Larry Maloney. As a postdoc (Caltech, 2008-2010), with Antonio Rangel, we investigated neural mechanisms for sequential information integration and context-dependent valuation. I am currently an Associate Professor in the Institute of Neuroscience at National Yang-Ming University, Taipei, Taiwan where my lab studies the neural and computational mechanisms of decision making.",12:30 PM,,Barchi Library (140 John Morgan Building),Computational Neuroscience Initiative (CNI),Shih-Wei Wu,11:30 AM,,Probability estimation and its neurocomputational substrates,https://cni.upenn.edu/events/cni-seminar-shih-wei-wu,16-04-2019
"Tuesday, April 9, 2019 - 11:30am","Department of Biological SciencesUSCUnderstanding how inhibitory circuits in the thalamus contribute to visionThe thalamus is often viewed as a gatekeeper, relaying sensory signals to the cortex during waking and halting their flow during sleep. While true, this is an impoverished description. Our work explores how circuits in the visual thalamus contribute to sensory processing per se. Although thalamocortical cells make few local connections, they are embedded in two dense inhibitory networks. First, local interneurons supply feedforward inhibition; second, neurons in the visual sector of the thalamic reticular nucleus (a thin sheet of gabaergic cells that cloak the thalamus) provide feedback inhibition. We use anatomical, physiological and computational tools to understand how each inhibitory network operates and we compare results across species to resolve evolutionarily conserved aspects of thalamic structure and function.",12:30 PM,,"Barchi Library, 140 John Morgan Building",Computational Neuroscience Initiative (CNI),Judith Hirsch,11:30 AM,,Understanding how inhibitory circuits in the thalamus contribute to vision,https://cni.upenn.edu/events/cni-seminar-judith-hirsch,09-04-2019
"Tuesday, April 2, 2019 - 11:30am","Department of NeurobiologyHarvard UniversityCortical dynamics for flexible navigation decisionsWe study flexible sensorimotor decision-making in mice during navigation-based tasks in virtual reality. I will present approaches to study this topic using analyses of population dynamics from calcium imaging movies, optogenetic perturbations, and measurements of behavioral variability. We have developed behavioral tasks in which mice integrate internally-stored contextual information, in the form of short-term memories, with sensory cues to guide navigation choices. We have used unbiased methods to identify regions of the mouse cortex involved in these tasks, leading to a particular focus on posterior parietal cortex, retrosplenial cortex, and V1. I will present findings that parietal and retrosplenial areas use mixed representations of sensory and contextual information to generate navigational trajectories toward rewarded goal locations. I will discuss potential decision-related roles for these cortical regions for mapping sensory and internal information onto navigational actions.",12:30 PM,,"Barchi Library, 140 John Morgan Building",Computational Neuroscience Initiative (CNI),Chris Harvey,11:30 AM,,Cortical dynamics for flexible navigation decisions,https://cni.upenn.edu/events/cni-seminar-chris-harvey,02-04-2019
"Tuesday, March 26, 2019 - 11:30am","Clélia de Mulatier
Department of Physics and AstronomyUniversity of PennsylvaniaAnalyzing Binary Datasets with Spin Models: the Search for Simple ModelsAbstract forthcoming",12:30 PM,,"Barchi Library, 140 John Morgan Building",Computational Neuroscience Initiative (CNI),,11:30 AM,,Analyzing Binary Datasets with Spin Models: the Search for Simple Models,https://cni.upenn.edu/events/cni-seminar-cl%C3%A9lia-de-mulatier,26-03-2019
"Tuesday, March 19, 2019 - 11:30am","Department of Mathematics and Statistics Swarthmore CollegeReconstruction of Sparse Connectivity and Stimuli in Neuronal Networks Using Compressive Sensing of Network DynamicsSparsity is a fundamental characteristic of numerous biological, social, and technological networks. Neuronal network connectivity demonstrates sparsity on multiple spatial scales and natural stimuli typically also possess sparse representations in appropriate domains. In this talk, we address the role of sparsity in the efficient encoding of network structure and inputs through nonlinear neuronal network dynamics. We develop a theoretical framework for reconstructing sparse network data by leveraging compressive sensing theory and the linearity of input-output mappings commonly underlying neuronal dynamics. Addressing the theoretical and experimental challenges in measuring structural network connectivity, we reconstruct model neuronal network connections using the evoked dynamics in response to a small ensemble of random stimuli. Using the reconstructed connectivity matrix, we then accurately recover detailed network inputs distinct from the random input ensemble. Analyzing several receptive field models, we investigate how the accuracy of input reconstructions depends on the network architecture, and demonstrate that the center-surround structure common in the early visual system facilitates marked improvements in natural scene processing well beyond the uniformly-random connectivity typical in compressive sensing theory. However, we show that the spatial localization inherent in receptive fields combined with information loss introduced by nonlinear neuronal dynamics may underlie deficiencies in processing specific classes of non-natural stimuli, yielding a novel explanation for the manifestation of certain illusory effects. We expect this talk will provide a new perspective for understanding compressive encoding in sensory systems as well as the structure-function relationship in neuronal networks.",12:30 PM,,"Barchi Library, 140 John Morgan Building",Computational Neuroscience Initiative (CNI),Victor Barranca,11:30 AM,,Reconstruction of Sparse Connectivity and Stimuli in Neuronal Networks Using Compressive Sensing of Network Dynamics,https://cni.upenn.edu/events/cni-seminar-victor-barranca,19-03-2019
"Tuesday, March 12, 2019 - 11:30am","Department of NeuroscienceUniversity of PennsylvaniaThe caudate nucleus and reward-biased visual decisionsDecision making is a complex process that interprets sensory information within the context of reward contingency, task goal and intrinsic bias, etc. How and where this process is implemented in the brain remain unclear. The basal ganglia have been shown to contribute causally to reward-based economic decisions and to noisy sensory evidence-based perceptual decisions, leading to the hypothesis that sensory and reward information may be combined within the basal ganglia to support decision formation. In my talk, I will present our new results on how the caudate nucleus encodes combined signals at the single-neuron level and how disruption of caudate activity influences decision performance. These results further support the idea that the basal ganglia are a key player in the complex decision process.",12:30 PM,,"Barchi Library, 140 John Morgan Building",Computational Neuroscience Initiative (CNI),Long Ding,11:30 AM,,The caudate nucleus and reward-biased visual decisions,https://cni.upenn.edu/events/cni-seminar-long-ding-0,12-03-2019
"Tuesday, February 26, 2019 - 11:30am","Department of Psychological and Brain SciencesComputational Memory and Perception LabUniversity of Massachusetts AmherstBanishing Ghosts of Process from the Neural Machinery of Human Memory: A Representational Hierarchical Account of CognitionIn cognitive neuroscience, mental processes or cognitive functions have often served as labels for characterizing the functional division of labor in cortex. For example, distinct neuroanatomical substrates have been proposed for declarative memory versus perceptual learning, short-term versus long-term memory, and familiarity versus recollection. I will present theoretical and empirical work, including connectionist simulations, behavioral studies and fMRI data, that challenges process-based accounts of memory and visual cognition. Instead, I will argue that the ventral visual stream and medial temporal lobe (MTL) can be understood in terms of a hierarchy of representations – from simple features in V1, through feature-conjunctions in inferior temporal cortex, to complex conjunctions of items and context in MTL. Under this view, the processes that operate upon the representations to produce a behavioral output – e.g., “pattern completion” to produce recall of a memory – can occur anywhere along the hierarchy.The studies I will present demonstrate how a single brain region can support more than one cognitive process (visual discrimination and recognition memory); that a cognitive process (recollection) previously thought tied to one brain region (hippocampus) can also unfold elsewhere; and that this “Representational-Hierarchical” framework makes accurate predictions for the organization of representations within the ventral visual stream, and for the effects of aging on recognition memory. This suggests that it may be possible to banish the ghosts of process from the neural machinery of memory, and explain the neuroanatomical organization of cognition in terms of representations alone.",12:30 PM,,"Barchi Library, 140 John Morgan Building",Computational Neuroscience Initiative (CNI),Rosie Cowell,11:30 AM,,Banishing Ghosts of Process from the Neural Machinery of Human Memory: A Representational Hierarchical Account of Cognition,https://cni.upenn.edu/events/cni-seminar-rosie-cowell,26-02-2019
"Tuesday, February 19, 2019 - 11:30am","Department of NeurologyUniversity of PennsylvaniaWhen nano meets neuro: high-resolution interfaces for multimodal mapping neural circuit dynamicUnraveling neural processes underlying cognition, sensation, volitional movement, neurological and neuromuscular diseases requires decoding the activity of millions of neurons at millisecond resolution, over months to years and without inducing foreign-body reactions. These requirements exceed the capabilities of available neurotechnologies: non-invasive clinical tools provide coarse, indirect measurements of collective neural network behavior, but they fail to identify the microcircuits underlying function and disease. Implantable metal and silicon electrodes can directly interface with individual neurons, but suffer from poor longevity and invasiveness issues. Genetically-encoded tools for optically monitoring and manipulating neural activity, are beginning to reveal the brain’s wiring, but alone they provide sparse information on “fast” circuit activity and network connectivity.In this talk I will discuss how nanoscale materials can be engineered into high-resolution, minimally invasive, multimodal neuroelectronic interfaces, designed to seamlessly interface with and control the activity of neural circuits. In the first part of the talk I will present high-resolution, low noise microelectrodes based on MXene nanomaterials. I will illustrate the fundamental electrochemical properties of MXene nanomaterials compared to conventional metals and how these translate into significant impedance and noise reduction when MXenes are integrated into cellular-scale devices. I will then present two examples of custom-fabricated MXene microelectrodes optimized for neural recordings in different areas of the brain. In the second part of the talk I will introduce flexible, transparent graphene optoelectronic devices engineered to simultaneously acquire electrophysiology and functional calcium imaging data. I will present the fabrication process yielding functional electrodes with >90% broadband transparency and demonstrate their application in multimodal mapping seizure dynamics at high-spatiotemporal resolution, in vivo in animal models of epilepsy.",12:30 PM,,"Barchi Library, 140 John Morgan Building",Computational Neuroscience Initiative (CNI),Flavia Vitale,11:30 AM,,When nano meets neuro: high-resolution interfaces for multimodal mapping neural circuit dynamic,https://cni.upenn.edu/events/cni-seminar-flavia-vitale,19-02-2019
"Thursday, February 14, 2019 - 11:30am","Auditory Neurophysiology LaboratoryUniversity of SalamancaEmergence of deviance detection along the auditory neuroaxis and beyond: A neuronal correlate for predictive coding?The soundscape consists of a cacophony of multiple sources of sounds with complex properties overlapping temporally and spectrally. Nonetheless, what we can hear is an orderly acoustic stream organised according to sources and auditory objects, allowing us to distinguish deviant or novel events and select some sources or objects for further processing. Recent evidence suggests that these perceptual achievements are based on properties that are encoded at earlier stages of the auditory pathway.Stimulus-specific adaptation (SSA) is the reduction in the responses to a common sound relative to the same sound when rare. It was originally described in the primary auditory cortex (A1) as the neuronal correlate of the mismatch negativity (MMN), an important component of the auditory event-related potentials that is elicited by changes in the auditory environment. However, the relationship between SSA and the MMN is still a subject of debate. The MMN is a mid-late potential (~150-200 ms in humans), and its neural sources have been located mainly within non-primary auditory cortex in humans and animal models. Moreover, SSA is also present as early as in the auditory midbrain and thalamus (IC and MGB).In this talk, I will show our recent findings on recordings from single neurons in the IC, MGB and auditory cortex (AC) of anaesthetized rats and awake mouse to an oddball paradigm similar to that used for MMN studies. Our data demonstrate that most neurons in the non-lemnical divisions of the auditory brain show strong SSA and that there is a hierarchical emergence of prediction error signals along the central auditory system. We have also observed that although GABAergic and/or glycinergic inhibition play a role in modulating SSA in the IC and MGB, it is acetylcholine that shapes SSA by differently affecting the response to the standard or deviant tones sounds only. More recently, we have also started to record from prefrontal cortex and observed that neurons show the highest degree of prediction error along the auditory hierarchy.Taken together our results unify three coexisting views of perceptual deviance detection at different levels of description: neuronal physiology, cognitive neuroscience and the theoretical predictive coding framework.Financial support was provided by the Spanish MINECO (Grant # SAF2016-75803-P), Junta de Castilla y León (Grant # SA023P17) and the European Union’s Horizon 2020 research and innovation programme under the Marie Skłodowska-Curie grant agreement No 722098” to MSM.",12:30 PM,,"Barchi Library, 140 John Morgan Building",Computational Neuroscience Initiative (CNI),Manuel Malmierca,11:30 AM,,Emergence of deviance detection along the auditory neuroaxis and beyond: A neuronal correlate for predictive coding?,https://cni.upenn.edu/events/cni-seminar-manuel-malmierca,14-02-2019
